collection,task_ID,dtype,expression,name,scientific_field,support
Eponymous,eponymous_34,float,x_0*x_1*(x_0),Lyapunov equation,Mathematics,"[[-10, 10], [-10, 10]]"
Eponymous,eponymous_35,float,x_0**4,Bernoulli differential equation,Mathematics,"[[0, 10]]"
Eponymous,eponymous_36,float,x_0*x_1**x_2,Mark–Houwink equation,Chemistry,"[[0.01, 10], [1000, 1000000], [0.5, 2.0]]"
Eponymous,eponymous_37,float,x_0/x_1,Mason–Weaver equation,Physics,"[[1e-10, 1e-05], [1e-10, 1e-05]]"
Eponymous,eponymous_38,float,x_0/x_1,Mason–Weaver equation,Physics,"[[1e-10, 1e-05], [1e-10, 1e-05]]"
Eponymous,eponymous_39,float,x_0*exp(-x_1),Mason–Weaver equation,Physics,"[[1e-10, 1e-05], [1e-10, 1e-05]]"
Eponymous,eponymous_40,float,x_0*x_1*x_2*x_3 + 1*x_0*x_4*x_5*x_6*Abs(x_6)/2,Morison equation,Engineering,"[[0.1, 1000], [0.1, 10], [0.1, 10], [0.1, 100], [0.1, 10], [0.1, 100], [-10, 10]]"
Eponymous,eponymous_41,float,x_0*x_1*x_2 + x_0*x_1*x_3*(x_2 - x_4) + 1*x_0*x_5*x_6*(x_7 - x_8)*Abs(x_7 - x_8)/2,Morison equation,Engineering,"[[0.1, 1000], [0.1, 100], [-10, 10], [0.1, 10], [-10, 10], [0.1, 10], [0.1, 100], [-10, 10], [-10, 10]]"
Eponymous,eponymous_42,float,"x_0 - x_1*log(x_3/x_4, E)/x_2",Nernst equation,Chemistry,"[[273.15, 373.15], [0.02, 0.03], [1, 10], [0.1, 10], [0.1, 10]]"
Eponymous,eponymous_43,float,x_0/(x_0*x_1 + 1),Ornstein–Zernike equation,Physics,"[[0, 10], [0, 10]]"
Eponymous,eponymous_44,float,x_0 - 1,Ornstein–Zernike equation,Physics,"[[0, 10]]"
Eponymous,eponymous_45,float,3/2 + (-x_0*(x_0 + 1) + 3/4)/((2*x_1*(x_1 + 1))),Pauli equation,Physics,"[[0, 10], [0.5, 10.5]]"
Eponymous,eponymous_46,float,(3*x_0)*((x_1/x_2)**(7/3) - (x_1/x_2)**(5/3))*(3*(x_3 - 4)*((x_1/x_2)**(2/3) - 1)/4 + 1)/2,Birch–Murnaghan equation of state,Physics,"[[1, 100], [1, 100], [1, 100], [1, 100]]"
Eponymous,eponymous_47,float,(x_0*x_1 + x_2*(643/100)*(67*x_3/125 + 1)*x_4)/((x_5*(x_0 + x_2))),Penman equation,Engineering,"[[0, 1000], [0, 1000], [734.4649426197814, 734.4669426197813], [0, 1000], [0, 1000], [8.997176337288693e-10, 745.7438253960154]]"
Eponymous,eponymous_48,float,exp(2107/100 - 1*5336/x_0),Penman equation,Engineering,"[[200, 350]]"
Eponymous,eponymous_49,float,5336*exp(2107/100 - 1*5336/x_0)/(x_0**2),Penman equation,Engineering,"[[200, 350]]"
Eponymous,eponymous_50,float,x_0**3/(x_0**3 - 1*27*x_1**2),Picard–Fuchs equation,Mathematics,"[[-100, 100], [-100, 100]]"
Eponymous,eponymous_51,float,4*x_0**3 - x_0*x_1 - x_2,Picard–Fuchs equation,Mathematics,"[[-100, 100], [-100, 100], [-100, 100]]"
Eponymous,eponymous_52,float,-x_0/x_1,Poisson's equation,Physics,"[[0, 10], [1, 10]]"
Eponymous,eponymous_53,float,x_0**2*x_1,Prandtl–Glauert equation,Engineering,"[[-10, 10], [-10, 10]]"
Eponymous,eponymous_54,float,(2*pi*x_0)/(x_1 + 2/x_2),Prandtl–Glauert equation,Engineering,"[[-10, 10], [-10, 10], [-10, 10]]"
Eponymous,eponymous_55,float,x_0*(x_2*x_3 + x_3**2*x_4)/x_1,Prony equation,Engineering,"[[0.1, 100], [0.01, 10], [0.01, 5], [0.01, 10], [0.01, 10]]"
Eponymous,eponymous_56,float,(269/100)*10**5*x_0**(3/2)*x_1*x_2*sqrt(x_3*x_4),Randles–Sevcik equation,Chemistry,"[[1, 10], [1e-05, 0.001], [0.01, 1], [1e-06, 0.0001], [1e-06, 0.0001]]"
Eponymous,eponymous_57,float,1*((x_0/x_1)**(2/3) - 1)/2,Birch–Murnaghan equation of state,Physics,"[[1, 100], [1, 100]]"
Eponymous,eponymous_58,float,x_0 + x_1*(x_2/(-3 + 1*E))**x_3,Randles–Sevcik equation,Chemistry,"[[-1.77, 0.23], [-1.78, 0.22], [-2.59, -0.59], [0.42, 2.42]]"
Eponymous,eponymous_59,float,1*(1/x_3 + 1/x_2)*(-x_0 + x_1)/2,Rankine–Hugoniot equation,Physics,"[[0, 100], [0, 100], [0.1, 10], [0.1, 10]]"
Eponymous,eponymous_60,float,x_0*4*pi*x_1**2*x_2,Rayleigh–Plesset equation,Physics,"[[900, 1100], [0.01, 1], [0.01, 1]]"
Eponymous,eponymous_61,float,x_0 + x_1/x_2 + x_2*(x_3 + x_4),Rodrigues equation,Chemistry,"[[0, 1], [0, 1], [6.851221812098629e-10, 1], [0, 1], [0, 1]]"
Eponymous,eponymous_62,float,sqrt(x_0/x_1),Rodrigues equation,Chemistry,"[[5.695283133988482e-10, 1], [3.772975265547984e-10, 1]]"
Eponymous,eponymous_63,float,x_0/x_1,Rodrigues equation,Chemistry,"[[0, 1], [9.085288493748678e-10, 0.027076785042440002]]"
Eponymous,eponymous_64,float,(x_0/x_1)**2,Rodrigues equation,Chemistry,"[[0, 1], [1.4354550881279238e-10, 1]]"
Eponymous,eponymous_65,float,"8*(x_0/x_1)**2*log(2, E)",Rodrigues equation,Chemistry,"[[0, 1], [7.666192125554971e-10, 0.42393999176393415]]"
Eponymous,eponymous_66,float,16*(x_0/x_1)**2,Rodrigues equation,Chemistry,"[[0, 1], [2.5780477752590514e-10, 1]]"
Eponymous,eponymous_67,float,"log(x_0*(x_4*(4*pi*x_2)/(x_1*((3*x_3**2))))**(3/2)/x_1, E) + 5/2",Sackur–Tetrode equation,Physics,"[[0.001, 1000.0], [1, 1e+23], [1e-30, 1e-25], [1e-34, 1e-33], [1e-20, 1e-15]]"
Eponymous,eponymous_68,float,x_0 + (9*x_1*x_2)*(x_4*((x_1/x_3)**(2/3) - 1)**3 + (-1*4*(x_1/x_3)**(2/3) + 6)*((x_1/x_3)**(2/3) - 1)**2)/16,Birch–Murnaghan equation of state,Physics,"[[1, 100], [1, 100], [1, 100], [1, 100], [1, 100]]"
Eponymous,eponymous_69,float,"log(x_0/((x_1*x_2**3)), E) + 5/2",Sackur–Tetrode equation,Physics,"[[0.001, 1000.0], [1, 1e+23], [1e-10, 1e-08]]"
Eponymous,eponymous_70,float,"log(x_0*((2*pi*x_2*x_3*x_4)/(x_5**2))**(3/2)/x_1, E) + 5/2",Sackur–Tetrode equation,Physics,"[[0.001, 1000.0], [1, 1e+23], [1e-30, 1e-25], [1e-23, 1e-19], [1, 1000.0], [1e-34, 1e-33]]"
Eponymous,eponymous_71,float,x_0/(exp(x_1/((x_2*x_3))) - 1),Sakuma–Hattori equation,Physics,"[[1, 10], [0.01, 0.02], [1e-06, 1e-05], [273, 1273]]"
Eponymous,eponymous_72,float,x_0/(exp(x_1/(x_2*x_3 + x_4)) - 1),Sakuma–Hattori equation,Physics,"[[1, 10], [0.01, 0.02], [1e-06, 1e-05], [273, 1273], [0.001, 0.01]]"
Eponymous,eponymous_73,float,"x_0/((x_1*log(x_2/x_3 + 1, E))) - x_4/x_1",Sakuma–Hattori equation,Physics,"[[0.01, 0.02], [1e-06, 1e-05], [1, 10], [0.1, 1], [0.001, 0.01]]"
Eponymous,eponymous_74,float,(x_0/(exp(x_1/(x_2*x_3 + x_4)) - 1))**2*(x_1*x_2)*exp(x_1/(x_2*x_3 + x_4))/((x_5*(x_2*x_3 + x_4)**2)),Sakuma–Hattori equation,Physics,"[[1, 10], [0.01, 0.02], [1e-06, 1e-05], [273, 1273], [0.001, 0.01], [1, 10]]"
Eponymous,eponymous_75,float,x_0*(1 - x_1)**(x_2 - 1),Scheil equation,Engineering,"[[0.01, 0.99], [0.01, 0.99], [0.01, 0.99]]"
Eponymous,eponymous_76,float,x_0*x_1*(1 - x_2)**(x_3 - 1),Scheil equation,Engineering,"[[0.01, 0.99], [0.01, 0.99], [0.01, 0.99], [0.01, 0.99]]"
Eponymous,eponymous_77,float,x_0 + x_1/x_2,Scheil equation,Engineering,"[[0.01, 0.99], [0.01, 0.99], [0.01, 0.99]]"
Eponymous,eponymous_78,float,x_0/(x_1**(1/3)),Scheil equation,Engineering,"[[0.01, 0.99], [0.01, 0.99]]"
Eponymous,eponymous_79,float,x_0*(457*x_1/1000 + 1016/125),Blaney–Criddle equation,Engineering,"[[-50, 50], [0, 100]]"
Eponymous,eponymous_80,float,107*sqrt((x_0 - x_1)/x_1)/1000,Souders–Brown equation,Engineering,"[[500, 1500], [1, 50]]"
Eponymous,eponymous_81,float,x_0/x_1,Souders–Brown equation,Engineering,"[[0.1, 10], [0.01, 1]]"
Eponymous,eponymous_82,float,sqrt((4*x_0)/pi),Souders–Brown equation,Engineering,"[[1, 100]]"
Eponymous,eponymous_83,float,x_0*x_1*(x_2 - x_3 - x_4*(x_5 - x_6)),Starling equation,Biology,"[[0.001, 10], [0.001, 10], [0, 100], [0, 100], [0, 1], [0, 100], [0, 100]]"
Eponymous,eponymous_84,float,x_0*x_1*(x_2 - x_3 - x_4*(x_5 - x_6)),Starling equation,Biology,"[[0.001, 10], [0.001, 10], [0, 100], [0, 100], [0, 1], [0, 100], [0, 100]]"
Eponymous,eponymous_85,float,(x_0*x_1)/x_2,Stokes–Einstein equation,Physics,"[[1e-06, 0.001], [1, 10], [1, 10]]"
Eponymous,eponymous_86,float,(x_0*x_1)/x_2,Stokes–Einstein equation,Physics,"[[1e-06, 0.001], [1, 10], [1, 10]]"
Eponymous,eponymous_87,float,"x_1 + 1*log(x_0, E)/8",Strominger's equations,Physics,"[[0.1, 10], [-10, 10]]"
Eponymous,eponymous_88,float,x_0 + x_1,Strominger's equations,Physics,"[[-10, 10], [-10, 10]]"
Eponymous,eponymous_89,float,x_0*x_1 + x_2*x_3,Taft equation,Chemistry,"[[-10, 10], [-10, 10], [-10, 10], [-10, 10]]"
Eponymous,eponymous_90,float,x_0*(x_1 - x_2)**2/2,Borda–Carnot equation,Engineering,"[[0, 1], [0, 1000], [0, 1000]]"
Eponymous,eponymous_91,float,1*(x_1 - x_2)/(62*x_0/25),Taft equation,Chemistry,"[[-10, 10], [-10, 10], [-10, 10]]"
Eponymous,eponymous_92,float,1*x_1/x_0,Taft equation,Chemistry,"[[-10, 10], [-10, 10]]"
Eponymous,eponymous_93,float,x_0*x_1,Taft equation,Chemistry,"[[-10, 10], [-10, 10]]"
Eponymous,eponymous_94,float,x_0*x_1,Taft equation,Chemistry,"[[-10, 10], [-10, 10]]"
Eponymous,eponymous_95,float,x_0**2 + 2*x_1*x_2,Torricelli's equation,Physics,"[[0, 100], [0, 10], [0, 100]]"
Eponymous,eponymous_96,float,"x_2*log(x_0/x_1, E)",Tsiolkovsky rocket equation,Physics,"[[1000, 10000], [500, 5000], [2000, 4000]]"
Eponymous,eponymous_97,float,-x_1/x_0 + x_2/x_0,Van 't Hoff equation,Chemistry,"[[273.15, 373.15], [1, 100000], [1, 100000]]"
Eponymous,eponymous_98,float,-x_1/x_0 + x_2/x_0,Van 't Hoff equation,Chemistry,"[[273.15, 373.15], [1, 100000], [1, 100000]]"
Eponymous,eponymous_99,float,x_0 + x_1/x_2 + x_2*(x_3 + x_4),Van Deemter's equation,Chemistry,"[[0, 1], [0, 1], [4.203514480938253e-10, 0.201314020577212], [0, 1], [0, 1]]"
Eponymous,eponymous_100,float,sqrt(x_0/x_1),Van Deemter's equation,Chemistry,"[[4.76438555274683e-10, 0.6649213757510973], [3.744133891814272e-10, 1]]"
Eponymous,eponymous_101,float,1*x_0*(-x_1/x_2 + 1)**2*x_3**2/2,Borda–Carnot equation,Engineering,"[[0, 1000], [0, 10], [4.423768018568808e-10, 10], [0, 100]]"
Eponymous,eponymous_102,float,x_0/x_1,Van Deemter's equation,Chemistry,"[[0, 10], [1, 1000]]"
Eponymous,eponymous_103,float,(x_0/x_1)**2,Van Deemter's equation,Chemistry,"[[0, 100], [5.780282918976809e-10, 9.069412182435306]]"
Eponymous,eponymous_104,float,"8*(x_0/x_1)**2*log(2, E)",Van Deemter's equation,Chemistry,"[[0, 100], [7.518199396372438e-10, 10]]"
Eponymous,eponymous_105,float,16*(x_0/x_1)**2,Van Deemter's equation,Chemistry,"[[0, 100], [1.7922463513286857e-10, 10]]"
Eponymous,eponymous_106,float,(x_0*x_1)/(x_2 - x_3) - x_4/(x_2**2),Van der Waals equation,Physics,"[[0, 1000], [0, 1000], [0.001, 10], [0, 0.1], [0, 10]]"
Eponymous,eponymous_107,float,x_1/(1 + exp(-x_0*(x_2 - x_3))),Verhulst equation,Mathematics,"[[-10, 10], [0.5, 2], [-10, 10], [-10, 10]]"
Eponymous,eponymous_108,float,1/(1 + exp(-x_0)),Verhulst equation,Mathematics,"[[-6, 6]]"
Eponymous,eponymous_109,float,1*tanh(x_0/2)/2 + 1/2,Verhulst equation,Mathematics,"[[-6, 6]]"
Eponymous,eponymous_110,float,x_0*x_1,Wald's equation,Mathematics,"[[1, 6], [1, 6]]"
Eponymous,eponymous_111,float,sqrt((x_0*x_1*x_2*cos(x_3))/((2*x_4))),Washburn's equation,Physics,"[[-1.75, -1.72], [-1.19, -1.16], [1.82, 1.85], [-0.57, -0.54], [4.1727593255713735e-10, 0.03]]"
Eponymous,eponymous_112,float,(x_0*x_1*x_2)/x_3,Archard equation,Engineering,"[[0, 1000000], [0, 1000000], [0, 1000000], [5.820766091346741e-10, 1000000]]"
Eponymous,eponymous_113,float,1*x_0*(-1 + 1/x_1)**2*(x_2/x_3)**2*x_4**2/2,Borda–Carnot equation,Engineering,"[[0, 1000], [1.0690065499474599e-10, 0.8969306508179609], [0, 10], [8.048257615911325e-10, 3.732907147258272], [0, 100]]"
Eponymous,eponymous_114,float,(x_0*(x_1**4 + 4*x_1**3*x_2))/((8*x_1**2*x_3*x_4)),Washburn's equation,Physics,"[[0.01, 1.0], [0.01, 1.0], [0, 1], [0.01, 1.0], [0.01, 1.0]]"
Eponymous,eponymous_115,float,x_0*x_1*x_2 - x_1*x_3*sin(x_4),Washburn's equation,Physics,"[[9.8, 9.9], [0.01, 1.0], [0.01, 1.0], [0.01, 1.0], [0, 180]]"
Eponymous,eponymous_116,float,(2*x_0)*cos(x_2)/x_1,Washburn's equation,Physics,"[[0.01, 1.0], [0.01, 1.0], [0, 180]]"
Eponymous,eponymous_117,float,x_4**(1/2)*((x_0*cos(x_1))/2)**(1/2)*(x_2/x_3)**(1/2),Washburn's equation,Physics,"[[1.47, 1.49], [0.83, 0.85], [1.07, 1.08], [3.0245940474404875e-10, 0.02], [0.92, 0.94]]"
Eponymous,eponymous_118,float,x_0**2/(x_0**2 + x_1**2),Whitham equation,Physics,"[[0.1, 1.0], [0.01, 1.0]]"
Eponymous,eponymous_119,float,x_0 + x_1*cos(x_2),Young–Dupre equation,Physics,"[[10, 100], [10, 100], [0, 180]]"
Eponymous,eponymous_120,float,x_0 + x_1*x_2,Young–Dupre equation,Physics,"[[-1, 1], [0, 1], [10, 100]]"
Eponymous,eponymous_121,float,-x_0*(1/x_2 + 1/x_1),Young–Laplace equation,Physics,"[[0.01, 1.0], [0.01, 1.0], [0.01, 1.0]]"
Eponymous,eponymous_122,float,(2*x_0)/x_1,Young–Laplace equation,Physics,"[[0.01, 1.0], [0.01, 1.0]]"
Eponymous,eponymous_123,float,(2*x_0*cos(x_1))/x_2,Young–Laplace equation,Physics,"[[0.01, 1.0], [0.0, 1.57], [0.01, 1.0]]"
Eponymous,eponymous_124,float,-x_0,Bridgman's thermodynamic equations,Physics,"[[0, 1000]]"
Eponymous,eponymous_125,float,1/x_1 + 1/x_0,Young–Laplace equation,Physics,"[[0.01, 1.0], [0.01, 1.0]]"
Eponymous,eponymous_126,float,(x_0*x_1 + x_2)/(x_1*x_3 + 1),Burgers' equation,Physics,"[[-100, 100], [-100, 100], [-100, 100], [-100, 100]]"
Eponymous,eponymous_127,float,tanh(x_0/(sqrt(2*x_1))),Cahn–Hilliard equation,Physics,"[[-10, 10], [0.01, 1]]"
Eponymous,eponymous_128,float,2*x_0*x_1/(x_1**2 + 1),Camassa–Holm equation,Physics,"[[-10, 10], [-10, 10]]"
Eponymous,eponymous_129,float,x_2*(-x_0*x_3 + x_1),Camassa–Holm equation,Physics,"[[-10, 10], [-10, 10], [-10, 10], [-10, 10]]"
Eponymous,eponymous_130,float,1/(1 - x_0),Carothers equation,Chemistry,"[[0, 0.99]]"
Eponymous,eponymous_131,float,(x_0 + 1)/(-1*2*x_0*x_1 + x_0 + 1),Carothers equation,Chemistry,"[[0, 0.99], [0.5, 1]]"
Eponymous,eponymous_132,float,2/(-x_0*x_1 + 2),Carothers equation,Chemistry,"[[0, 0.99], [2, 4]]"
Eponymous,eponymous_133,float,(x_0 + 1)/(1 - x_0),Carothers equation,Chemistry,"[[0, 0.99]]"
Eponymous,eponymous_134,float,x_0*exp((-x_1)/((x_2*x_3))),Arrhenius equation,Chemistry,"[[1e-05, 100000.0], [1000.0, 100000.0], [1, 100], [1, 100]]"
Eponymous,eponymous_135,float,x_0*1/(1 - x_1),Carothers equation,Chemistry,"[[100, 200], [0, 0.99]]"
Eponymous,eponymous_136,float,x_0*(x_1 + 1)/(1 - x_1),Carothers equation,Chemistry,"[[100, 200], [0, 0.99]]"
Eponymous,eponymous_137,float,x_0 + 1,Carothers equation,Chemistry,"[[0, 0.99]]"
Eponymous,eponymous_138,float,x_0 + x_1/(x_2**2),Cauchy's equation,Physics,"[[1.0, 2.0], [0.001, 0.01], [0.4, 0.7]]"
Eponymous,eponymous_139,float,1 + ((388/5)/10**6)*(1 + ((188/25)/10**3)/(x_1**2))*(x_2 + 4810*x_3/x_0)/x_0,Cauchy's equation,Physics,"[[273.15, 373.15], [0.4, 0.7], [900, 1100], [0, 50]]"
Eponymous,eponymous_140,float,x_0 + x_1,Cauchy's functional equation,Mathematics,"[[-100, 100], [-100, 100]]"
Eponymous,eponymous_141,float,x_0**2 - x_1**2,Cauchy–Riemann equations,Mathematics,"[[-10, 10], [-10, 10]]"
Eponymous,eponymous_142,float,2*x_0*x_1,Cauchy–Riemann equations,Mathematics,"[[-10, 10], [-10, 10]]"
Eponymous,eponymous_143,float,(x_0*x_1 + x_2)**(-1/x_3),Cesàro equation,Mathematics,"[[0, 10], [9.004134906117555, 9.006134959523317], [2.80283499340658, 2.8048349934065797], [8.059952705252726e-10, 10]]"
Eponymous,eponymous_144,float,exp(x_0/x_1)/x_1,Cesàro equation,Mathematics,"[[-1.9430988573368526, -1.4430988573368526], [-1.086345829714523, -0.586345829714523]]"
Eponymous,eponymous_145,float,x_0*exp(-(x_1/((x_2*x_3)))**x_4),Arrhenius equation,Chemistry,"[[1e-05, 100000.0], [1000.0, 100000.0], [1, 100], [1, 100], [0.5, 1.5]]"
Eponymous,eponymous_146,float,1/x_0,Cesàro equation,Mathematics,"[[9.101306375214335e-10, 10]]"
Eponymous,eponymous_147,float,x_0/x_1,Cesàro equation,Mathematics,"[[0, 10], [3.2785862913442543e-10, 9.359868397090018]]"
Eponymous,eponymous_148,float,x_0/(sqrt(x_1)),Cesàro equation,Mathematics,"[[0, 10], [9.169185410939917e-10, 5.922762476883673]]"
Eponymous,eponymous_149,float,x_0*x_1,Cesàro equation,Mathematics,"[[0, 10], [0, 10]]"
Eponymous,eponymous_150,float,x_0/(x_0**2 + x_1**2),Cesàro equation,Mathematics,"[[0, 10], [7.837988036385468e-10, 10]]"
Eponymous,eponymous_151,float,x_0*(x_1/((2*pi*x_2*x_3)))**(3/2)*exp(-x_1*(x_4 - x_5)**2/(2*x_2*x_3)),Chapman–Enskog equation,Physics,"[[-1.97, -1.72], [1.79, 2.04], [0.05, 0.3], [0.88, 1.13], [1.55, 1.8], [1.74, 1.99]]"
Eponymous,eponymous_152,float,x_0*(x_1/((2*pi*x_2*x_3)))**(3/2)*exp(-x_1*(x_4 - x_5)**2/(2*x_2*x_3)),Chapman–Enskog equation,Physics,"[[1.89, 1.96], [1.66, 1.73], [0.45, 0.51], [0.03, 0.09], [-1.55, -1.49], [-1.3, -1.24]]"
Eponymous,eponymous_153,float,(31*x_0**(1/2)*x_1**(1/3)/50)*((x_0/282000)**(5/8) + 1)**(4/5)/(((2/(5*x_1))**(2/3) + 1)**(1/4)) + 3/10,Churchill–Bernstein equation,Engineering,"[[0.2, 1000000], [0.2, 1000000]]"
Eponymous,eponymous_154,float,(31*x_0**(1/2)*x_1**(1/3)/50)*((x_0/282000)**(5/8) + 1)**(4/5)/(((2/(5*x_1))**(2/3) + 1)**(1/4)) + 3/10,Churchill–Bernstein equation,Engineering,"[[0.2, 1000000], [0.2, 1000000]]"
Eponymous,eponymous_155,float,(x_0 - x_1)/((x_1*x_2)),Clarke's equation,Physics,"[[273, 373], [273, 373], [0.01, 0.1]]"
Eponymous,eponymous_156,float,1 - exp(-x_0*x_1**x_2),Avrami equation,Physics,"[[0.01, 100], [0.01, 100], [1, 10]]"
Eponymous,eponymous_157,float,"-log(-x_0*x_1*x_2*exp(-x_1**2) + 1, E)",Clarke's equation,Physics,"[[1, 2], [0, 10], [0.1, 1]]"
Eponymous,eponymous_158,float,x_0*(x_1*x_2**2)/((2*x_3*x_4)),Darcy–Weisbach equation,Engineering,"[[0.001, 1], [1, 100], [0.1, 10], [1, 10], [0.01, 1]]"
Eponymous,eponymous_159,float,x_0*x_1*x_2**2/(2*x_3),Darcy–Weisbach equation,Engineering,"[[0.001, 1], [500, 1500], [0.1, 10], [0.01, 1]]"
