collection,task_ID,description,dtype,expression,name,scientific_field,support
PHYBench,phybench_4,"This equation describes the amplitude A as a function of the initial angular displacement theta_0, where x_0 represents the initial angular displacement.",float,25*sqrt(2)*x_0/204,pybench_ID_101,Physics,"[[0.0, 3.141592653589793]]"
PHYBench,phybench_5,"This equation describes the final pressure \( P_1 \) in a system where \( x_0 \) is the initial pressure \( P_0 \), \( x_1 \) is the mole fraction parameter \( lpha \), \( x_2 \) is the latent heat \( \lambda \), and \( x_3 \) is the initial temperature \( T_0 \).",float,x_0*(x_1 + 1)*(0.240558094779889*x_1*x_2/x_3 + 10*x_1 + 5)/(8*x_1 + 5),pybench_ID_630,Physics,"[[100000, 200000], [0.01, 0.5], [30000, 50000], [273, 373]]"
PHYBench,phybench_6,"The equation describes the normal acceleration of a hunting dog in uniform circular motion, where x_0 is the velocity of the fox, x_1 is the velocity of the hunting dog, and x_2 is the distance between the fox and the hunting dog.",float,x_0*x_1/x_2,pybench_ID_134,Physics,"[[0.1, 10.0], [0.1, 15.0], [1.0, 100.0]]"
PHYBench,phybench_7,"This equation describes the maximum distance d_max for which one rope has no tension, where x_0 is the initial energy E_0, x_1 is the radius R, x_2 is the mass m, and x_3 is the length L.",float,0.638550856814101*sqrt(x_0*x_1/x_2)*sqrt(x_1*(-2 + pi)**2/x_3 + 2)/pi,pybench_ID_650,Physics,"[[0.1, 100.0], [0.01, 10.0], [0.001, 100.0], [0.1, 50.0]]"
PHYBench,phybench_8,"This equation describes the surface charge density σ (y) on a charged circular disk as a function of the electric field strength at the center E₀ (x₀), the disk radius a (x₁), and the radial distance r (x₂) from the center.",float,1.77083756256e-11*x_0*x_1/sqrt(x_1**2 - x_2**2),pybench_ID_409,Physics,"[[1e-06, 1000000.0], [11828.383365981426, 511518.9008003393], [11828.381365980827, 11828.383365980828]]"
PHYBench,phybench_9,"This equation describes the magnitude of a particle's acceleration in terms of its velocity, radius of curvature, and the horizontal component of velocity, where x_0 is the velocity, x_1 is the radius of curvature, and x_2 is the horizontal component of velocity.",float,x_0**3/(x_1*x_2),pybench_ID_133,Physics,"[[0.1, 100.0], [0.1, 1000.0], [0.1, 50.0]]"
PHYBench,phybench_10,"The frequency of oscillation of an elliptical cylinder rolling without slipping, where x_0 is the semi-major axis of the ellipse, x_1 is the radius of the surface it rolls on, and x_2 is the semi-minor axis of the ellipse.",float,sqrt((39.24*x_1 + 39.24*x_2 - 39.24*x_1*x_2**2/x_0**2)/((-1 + x_1*x_2/x_0**2)*(x_0**2 + 5*x_2**2)))/(2*pi),pybench_ID_336,Physics,"[[4.262970298648032, 4.508852310401151], [7.8244908612611805, 7.82449286516743], [2.59822006554651, 2.5982220655465103]]"
PHYBench,phybench_11,"This equation describes the power distribution of emitted light as a function of velocity and angle, where x_0 is the decay constant, x_1 is the initial number of atoms, x_2 is the initial energy, x_3 is the velocity, and x_4 is the angle.",float,x_0*x_1*x_2*(1 - x_3**2/89875517873681764)**2*exp(-4*x_0/7)/(-x_3*cos(x_4)/299792458 + 1)**3,pybench_ID_88,Physics,"[[0.0001, 1000.0], [1.0, 1e+20], [1e-20, 1e-10], [0.0, 299792457.0], [0.0, 3.141592653589793]]"
PHYBench,phybench_12,This equation describes the phase shift φ (y) as a function of the radial distance r (x_0) and the characteristic length λ (x_1) in a given potential.,float,2*pi*sqrt((x_0/x_1 + 1)/(-x_0**2/x_1**2 + x_0/x_1 + 1)),pybench_ID_321,Physics,"[[0.1, 5.865582102922921], [8.60092321625794, 8.602923216257938]]"
PHYBench,phybench_13,"The equation describes the terminal angular velocity of an infinitely falling rod, where x_0 is the length of the rod, x_1 is the acceleration due to gravity, and x_2 is the height of the rod.",float,sqrt(2)*x_0*sqrt(x_1/x_2)/2,pybench_ID_617,Physics,"[[0.1, 10.0], [9.7, 9.9], [0.5, 5.0]]"
PHYBench,phybench_14,"This equation represents the angular frequency ω₀ for a system of charged particles, where x_0 is the charge of the ion, x_1 is the linear charge density, x_2 is the permittivity of free space, x_3 is the distance from the origin to the line charges, and x_4 is the mass of the ion.",float,sqrt(2)*sqrt(x_0*x_1/(x_2*x_3**2*x_4))/sqrt(pi),pybench_ID_702,Physics,"[[1e-19, 1e-18], [1e-09, 1e-06], [8.8541878128e-12, 8.8541878129e-12], [0.001, 0.1], [1e-26, 1e-20]]"
PHYBench,phybench_15,"This equation describes the period of small vibrations of an object in an elliptical orbit, where x_0 is the mass of the object, x_1 is the semi-major axis, x_2 is the semi-minor axis, x_3 is the charge of the fixed object, and x_4 is the charge of the small object. Adjusted intervals for numerical stability.",float,1.19023949272741e-5*pi**(3/2)*sqrt(x_0*x_1**3*x_2**2/(x_3*x_4*(x_1**2 - x_2**2))),pybench_ID_367,Physics,"[[7.099743015714921e-10, 1648.5591847609207], [3.5129232855979353e-10, 113.60350089463304], [-660.0439373556252, -113.60350089470023], [-515.5212145347571, -7.439666660502553e-10], [6.004370334267151e-10, 807.5445977426587]]"
PHYBench,phybench_16,"This equation describes the change in amplitude (y) as a function of added mass (x_0), initial amplitude (x_1), total mass (x_2), and dimensionless parameters (x_3 and x_4).",float,x_0*x_1*(x_3/3 + x_4 - 1/3)/(4*x_2),pybench_ID_497,Physics,"[[0.001, 100.0], [0.001, 10.0], [0.1, 1000.0], [0.1, 10.0], [0.1, 10.0]]"
PHYBench,phybench_17,"This equation describes the angular velocity ω (y) of a regular N-sided polygon after a collision, where x_0 is the force F, x_1 is the number of sides N, x_2 is the mass m, and x_3 is the distance from the center to a vertex l.",float,2*sqrt(2)*sqrt(x_0*(9 - 5*tan(pi/x_1)**2)**2*sin(pi/x_1)/(x_2*x_3*(-(9 - 5*tan(pi/x_1)**2)**2 + (7*tan(pi/x_1)**2 + 9)**2)*(sin(pi/x_1)**2/3 + cos(pi/x_1)**2 + 2))),pybench_ID_457,Physics,"[[0.1, 100.0], [3, 100], [0.01, 100.0], [0.01, 10.0]]"
PHYBench,phybench_18,"This equation describes the equilibrium height \( h \) (y) of a levitating object as a function of charge \( Q \) (x_0), mass \( m \) (x_1), radius \( R \) (x_2), and angular velocity \( \omega \) (x_3).",float,18967.7642081542*sqrt((-x_0**2 + sqrt(x_0**4 + 3.71114186014562e-27*pi**2*x_0**2*x_1*x_2**4*x_3**2))/x_1)/sqrt(pi),pybench_ID_432,Physics,"[[-1518.1049928863667, -0.03389288636702665], [-1640.3356076156947, -8.9146075056947], [267.3829699379511, 1973.645179947951], [-1647.9681577878582, -27.768155787858216]]"
PHYBench,phybench_19,"This equation describes the period of simple harmonic motion of a block in a fluid, where x_0 is the density of the block, x_1 is the height of the block, and x_2 is the density of the fluid.",float,0.638550856814101*pi*sqrt(x_0*x_1/x_2),pybench_ID_39,Physics,"[[1000, 8000], [0.1, 1.0], [800, 1200]]"
PHYBench,phybench_20,This equation describes the period of oscillation T (y) of a system with a small block of mass m (x_0) on a wedge of mass M (x_1) with an angle θ (x_2) and spring constant k (x_3).,float,2*pi*sqrt(x_0*(x_0*sin(x_2)**2 + x_1)/(x_3*(x_0 + x_1))),pybench_ID_124,Physics,"[[0.1, 10.0], [0.1, 10.0], [0.1, 1.5], [1.0, 1000.0]]"
PHYBench,phybench_21,"This equation describes the force on a polarized medium sphere due to an external electric field generated by a charged line, where x_0 is the relative permittivity, x_1 is the volume of the sphere, x_2 is the linear charge density, and x_3 is the distance from the charged line.",float,x_1*x_2**2*(3 - 3*x_0)/(4*pi**2*x_3**3*(x_0 + 2)),pybench_ID_55,Physics,"[[1.0, 10.0], [1e-09, 1e-06], [1e-09, 1e-06], [0.01, 1.0]]"
PHYBench,phybench_22,"This equation describes the flow rate Q (y) as a function of the side length of a triangular channel (x_0), pressure difference (x_1), viscosity (x_2), and length of the channel (x_3).",float,sqrt(3)*x_0**4*x_1/(320*x_2*x_3),pybench_ID_458,Physics,"[[0.001, 0.1], [100, 10000], [0.001, 0.1], [0.1, 10.0]]"
PHYBench,phybench_23,"This equation represents the minimum initial velocity \( v_{0,\min} \) required for a coin to jump off a table, where \( x_0 \) is the gravitational acceleration \( g \) and \( x_1 \) is the radius \( r \) of the coin.",float,3*sqrt(5)*sqrt(x_0*x_1)/5,pybench_ID_674,Physics,"[[9.8, 10.0], [0.01, 0.1]]"
PHYBench,phybench_24,"This equation describes the electric potential distribution V (y) as a function of the angle α (x_3) in spherical coordinates, with boundary conditions defined by angles α₁ (x_0) and α₂ (x_1) and potential V₀ (x_2).",float,x_2*log(tan(x_3/2)/tan(x_0/2))/log(tan(x_1/2)/tan(x_0/2)),pybench_ID_206,Physics,"[[0.1, 1.5], [1.6, 3.0], [1.0, 10.0], [0.2, 3.0]]"
PHYBench,phybench_25,"The equation describes the angular frequency of a simple harmonic oscillator for a charged particle in an electric field, where x_0 is the charge Q, x_1 is the charge q, x_2 is the mass m, x_3 is the radius R, and x_4 is the length l. Adjusted intervals for numerical stability.",float,237635.126546247*sqrt(x_0*x_1*(x_3**2 - 2*x_4**2)/(x_2*(x_3**2 + x_4**2)**(5/2)))/sqrt(pi),pybench_ID_204,Physics,"[[-23.19332174559932, -6.933493779115452e-10], [6.671712071693037e-10, 211.77211806274403], [3.444711182964966e-11, 1124.9108817273554], [-197.7559526584388, 230.72971542718312], [163.1505464001443, 163.1525464001443]]"
PHYBench,phybench_26,"This equation describes the electrostatic force on a charged conductor sphere in an external electric field, where x_0 is the total charge on the sphere, x_1 is the magnitude of the external electric field, and x_2 is the relative permittivity of the medium.",float,x_0*x_1/x_2,pybench_ID_478,Physics,"[[-10, 10], [0, 1000000.0], [1, 100]]"
PHYBench,phybench_27,"This equation describes the modified electric field drift velocity of a charged particle in a magnetic field, where x_0 is the electric field, x_1 is the magnetic field, x_2 is the wave number, x_3 is the mass of the particle, x_4 is the perpendicular velocity, and x_5 is the charge of the particle.",float,x_0*(-x_2**2*x_3**2*x_4**2/(4*Abs(x_5)**2) + 1)/x_1,pybench_ID_71,Physics,"[[-1000.0, 1000.0], [0.01, 10.0], [0.01, 10.0], [1e-30, 1e-20], [1000.0, 100000.0], [1e-19, 1e-18]]"
PHYBench,phybench_28,"This equation describes the area of a quadrilateral formed by four particles in a relativistic frame S', where x_0 is the velocity of the particles, x_1 is the time in frame S', and x_2 is the relative velocity between frames S and S'.",float,2*x_0**2*x_1**2*(1 - x_2**2/89875517873681764)**(3/2)/(-x_0**2*x_2**2/89875517873681764 + 1),pybench_ID_259,Physics,"[[0, 100000000], [0, 100], [0, 100000000]]"
PHYBench,phybench_29,"The equation describes the tension T in a rope as a function of the angle θ between the rope and a rod, and the mass m of a small ball, where x_0 is the angle θ in radians and x_1 is the mass m in kilograms.",float,9.81*x_1*(cos(x_0)**2 + 5)*sin(x_0)/(cos(x_0)**2 + 1)**2,pybench_ID_766,Physics,"[[0.1, 1.5], [0.01, 10.0]]"
PHYBench,phybench_30,"The equation describes the angular velocity of a thin tube at equilibrium, where x_0 is the Coulomb constant, x_1 and x_2 are charges, x_3 is the mass of the small ball, and x_4 is the length of the tube.",float,4*sqrt(299)*sqrt(x_0*x_1*x_2/(x_3*x_4**3))/23,pybench_ID_716,Physics,"[[1e-12, 1e-06], [1e-09, 0.001], [1e-09, 0.001], [1e-06, 0.1], [0.1, 10.0]]"
PHYBench,phybench_31,"This equation calculates the equivalent resistance \( R_{04} \) of a resistor network, where \( x_0 \) stands for the resistance \( R \) of each individual resistor in the network.",float,x_0*(3 - sqrt(3)),pybench_ID_103,Physics,"[[0.1, 1000.0]]"
PHYBench,phybench_32,"This equation describes the final velocity (y) of a particle after a collision, where x_0 is the initial velocity, x_1 is the initial energy, and x_2 is the mass of the particle.",float,((x_1/(149896229*x_2) + sqrt((x_0 + 1)/(1 - x_0)))**2 - 1)/((x_1/(149896229*x_2) + sqrt((x_0 + 1)/(1 - x_0)))**2 + 1),pybench_ID_310,Physics,"[[-0.99, 0.99], [0, 1000000.0], [1e-30, 1e-20]]"
PHYBench,phybench_33,"This equation describes the critical energy \( E_1 \) required for a transition in a particle system, where \( x_0 \) is the mass \( M \) and \( constant \) is the speed of light \( c \).",float,1.12344397342102e+16*sqrt(3)*x_0,pybench_ID_256,Physics,"[[1.0, 100.0]]"
PHYBench,phybench_34,This equation describes the torque M (y) experienced by a magnetic dipole moment m (x_0) in an external magnetic field B_0 (x_1) at an angle alpha (x_2).,float,-27*x_0*x_1*sin(x_2)/31,pybench_ID_83,Physics,"[[1e-10, 1000.0], [1e-10, 10.0], [0.0, 3.141592653589793]]"
PHYBench,phybench_35,"This equation describes the total Joule heat generated in a conductive dielectric sphere, where x_0 is the radius of the sphere, x_1 is the external electric field strength, and x_2 is the relative dielectric constant.",float,5.31251268768e-11*pi*x_0**3*x_1**2/(x_2 + 2),pybench_ID_112,Physics,"[[0.01, 1.0], [1.0, 1000.0], [1.0, 100.0]]"
PHYBench,phybench_36,"This equation describes the boundary condition for the ejection of a water droplet in terms of its coordinates, where x_0 is the angular velocity, x_1 is the gravitational acceleration, x_2 is the radius, and x_3 is the x-coordinate.",float,sqrt(x_0**4*(x_2**2 - x_3**2)*(-x_2**2 + x_3**2 + x_1**2/x_0**4)/x_1**2),pybench_ID_505,Physics,"[[1.0, 3.316957404078053], [9.8, 9.81], [0.7330285047141137, 0.7330305047141138], [0.04388545783831668, 0.043887457838316685]]"
PHYBench,phybench_37,"The equation describes the difference in the y-coordinate (y) due to diffraction, where x_0 is the angle phi, x_1 is the wavelength lambda, x_2 is the distance L, and x_3 is the reciprocal of the grating spacing d.",float,x_1*x_2*x_3*(tan(x_0)**2 + 1)/sin(x_0),pybench_ID_331,Physics,"[[-3.14, 3.14], [3.8e-07, 7.5e-07], [0.1, 10.0], [100000, 1000000]]"
PHYBench,phybench_38,"The equation describes the period of simple harmonic motion for a charged particle in a magnetic field, where x_0 is the exponent n, x_1 is the mass m, x_2 is the charge q, and x_3 is the magnetic field strength B_0.",float,2*pi*x_1/(x_2*x_3*sqrt(x_0 + 1)),pybench_ID_737,Physics,"[[0, 10], [1e-30, 1e-20], [1e-19, 1e-10], [1e-05, 100000.0]]"
PHYBench,phybench_39,"This equation describes the difference in periods \( T_r - T_{\oplus} \) for a charged particle in a ring system, where \( x_0 \) is the radius of the loops \( R \), \( x_1 \) is the radial distance \( r_0 \), \( x_2 \) is the mass of the particle \( m \), \( x_3 \) is the number of loops \( n \), and \( x_4 \) is the charge of the particle \( q \).",float,-22301.8259841014*pi**(3/2)*x_0**2*sqrt(x_1**3*x_2/(x_3*x_4))/x_1**2,pybench_ID_636,Physics,"[[0.1, 10.0], [0.1, 100.0], [1e-30, 1e-20], [1, 100], [1.602176634e-19, 1.602176634e-18]]"
PHYBench,phybench_40,"This equation describes the amplitude of the oscillation angle θ as a function of the initial amplitude θ₀, initial position x₀, and current position x, where x_0 is the initial amplitude, x_1 is the initial position, and x_2 is the current position.",float,x_0*x_1/x_2,pybench_ID_420,Physics,"[[0.1, 1.0], [0.1, 1.0], [0.1, 2.0]]"
PHYBench,phybench_41,"This equation describes the angular acceleration (y) of a pole around its center of mass, where x_0 and x_1 are the angles theta_1 and theta_2, x_2 is the length l_1, x_3 is the angular velocity omega_1, x_4 is the length l_2, and x_5 is the angular velocity omega_2.",float,3*(2*x_2*x_3**2 + x_4*x_5**2*cos(x_0 - x_1) + 19.62*cos(x_0))*sin(x_0 - x_1)/(x_4*(3*sin(x_0 - x_1)**2 + 1)),pybench_ID_228,Physics,"[[-3.14, 3.14], [-3.14, 3.14], [0.1, 10.0], [-10.0, 10.0], [0.1, 10.0], [-10.0, 10.0]]"
PHYBench,phybench_42,"This equation describes the angular acceleration (y) of a rotating object, where x_0 is the distance A and x_1 is the distance B.",float,39.2266*x_0*sqrt(x_0**2 - x_1**2)*(2*x_0**4 - x_0**3*x_1 + 2*x_0**3*sqrt(x_0**2 - x_1**2) + x_1**4)/(x_1*(2*x_0**3 + x_1**3)**2),pybench_ID_450,Physics,"[[2.0220897822819976, 10.0], [2.0220877822452508, 2.022089782245251]]"
PHYBench,phybench_43,"This equation describes the position x on a screen where the light intensity decreases to 1/e of its maximum due to thermal motion, where x_0 is the mass of the particle, x_1 is the Boltzmann constant, x_2 is the temperature, x_3 is the distance from the source to the screen, constant is the speed of light, x_4 is the wavelength of light, and x_5 is the separation distance between slits.",float,149896229*sqrt(2)*x_3*x_4*sqrt(x_0/(x_1*x_2))/(pi*x_5),pybench_ID_708,Physics,"[[1e-30, 1e-25], [1e-24, 1e-22], [1, 1000], [0.1, 10], [4e-07, 7e-07], [1e-06, 0.001]]"
PHYBench,phybench_44,"This equation represents the minimum angular velocity Omega (y) required for stability in a magnetic field system, where x_0 is the radius R, x_1 is the mass m, x_2 is the length l, x_3 is the charge Q, and x_4 is the charge q. Adjusted intervals for numerical stability.",float,1680334094289.75*sqrt(x_1*(x_0**2 - 2*x_2**2)*sqrt(x_0**2 + x_2**2)/(x_3*x_4))/(sqrt(pi)*x_0**2),pybench_ID_649,Physics,"[[99.46411633905706, 1094.2511007897156], [-1747.9146812164888, -5.73209035792388e-10], [-773.7543736896016, -773.7523736896017], [2.737863269430818e-10, 273.0106406990567], [6.447180567192845e-10, 989.7442512093877]]"
PHYBench,phybench_45,"This equation describes the tension \( T_2 \) in a system of three connected balls, where \( x_0 \) is the mass of the balls, \( x_1 \) is the initial velocity, and \( x_2 \) is the length of the connecting rod.",float,4*x_0*x_1**2/x_2 + 19.62*x_0,pybench_ID_54,Physics,"[[0.1, 10.0], [0.1, 20.0], [0.1, 5.0]]"
PHYBench,phybench_46,"The equation describes the oscillation period T (y) of a charged particle in a magnetic field, where x_0 is the mass of the particle, x_1 is the charge, x_2 is the magnetic field strength, and x_3 is the exponent of the radial dependence of the magnetic field.",float,2*pi*x_0/(x_1*x_2*sqrt(x_3 + 1)),pybench_ID_688,Physics,"[[1e-30, 1e-20], [1e-10, 1e-05], [1e-05, 1], [0, 10]]"
PHYBench,phybench_47,"This equation describes the equivalent resistance \( R_{BC} \) as a function of the resistance \( r \), where \( x_0 \) represents \( r \).",float,38*x_0/41,pybench_ID_118,Physics,"[[0.001, 1000.0]]"
